gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,63,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No,No,Two year,Yes,Credit card (automatic),70.97,4428.1,No
Male,0,No,No,38,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Two year,No,Electronic check,104.59,3987.83,No
Female,1,No,No,3,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),64.83,208.7,Yes
Female,0,Yes,No,49,Yes,No phone service,DSL,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,38.71,1870.69,No
Male,0,No,Yes,66,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,One year,Yes,Credit card (automatic),103.58,6821.47,No
Female,0,Yes,No,18,Yes,No,No,Yes,No internet service,No,Yes,No,Yes,One year,No,Mailed check,22.75,432.19,No
Male,0,Yes,No,9,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,No,No internet service,Two year,Yes,Mailed check,78.59,687.72,No
Male,0,No,No,18,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),113.51,2072.96,No
Female,1,Yes,No,58,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,45.67,2630.23,No
Female,0,Yes,No,40,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,43.75,1769.45,No
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.69,9.42,No
Female,0,No,No,42,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),69.33,2928.43,No
Male,0,Yes,No,58,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,No internet service,One year,Yes,Electronic check,82.98,4817.4,No
Female,0,Yes,No,13,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Two year,Yes,Credit card (automatic),70.06,915.62,No
Male,0,Yes,No,42,Yes,No,No,No,No,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),52.49,2183.92,No
Female,1,Yes,Yes,16,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No internet service,No,Two year,Yes,Electronic check,61.81,988.81,No
Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),103.04,87.4,Yes
Female,0,No,No,28,Yes,Yes,No,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,114.28,3182.14,No
Female,0,Yes,No,55,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,51.22,2843.47,No
Male,0,No,No,48,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),82.98,4040.29,No
Female,1,Yes,No,7,Yes,Yes,DSL,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),102.12,699.52,Yes
Male,0,No,Yes,13,No,Yes,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),82.67,1083.2,No
Female,0,No,No,38,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),108.65,4147.57,No
Female,0,Yes,No,23,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.73,1959.18,No
Male,0,No,No,23,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),43.19,975.68,Yes
Female,0,Yes,No,31,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,79.52,2465.13,No
Female,0,No,No,54,Yes,Yes,DSL,No,Yes,No,No internet service,No,Yes,Two year,No,Electronic check,74.98,4049.26,No
Male,0,No,No,41,No,No,No,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,52.55,2104.05,No
Male,0,No,No,61,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No,One year,No,Electronic check,26.28,1608.19,No
Male,0,No,No,7,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,102.9,736.4,No
Male,0,No,Yes,33,No,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.82,3270.9,No
Male,0,Yes,No,39,Yes,Yes,No,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.91,810.28,Yes
Female,0,Yes,No,54,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.99,4938.38,Yes
Female,0,No,Yes,37,Yes,No,DSL,No,No internet service,Yes,No internet service,Yes,No,Two year,No,Bank transfer (automatic),84.89,3150.1,No
Male,0,No,Yes,65,Yes,No,DSL,No internet service,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,55.12,3567.33,No
Female,0,Yes,No,60,Yes,No phone service,DSL,No,No internet service,No internet service,No,No internet service,Yes,Two year,No,Electronic check,98.55,5906.66,No
Female,0,No,No,49,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Two year,No,Credit card (automatic),102.54,5024.6,No
Male,0,Yes,Yes,28,No,Yes,DSL,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,105.84,2979.59,Yes
Female,1,Yes,Yes,23,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.87,615.79,No
Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,56.53,2152.31,Yes
Female,0,No,No,33,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),21.09,696.61,No
Female,0,No,No,2,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,92.52,200.38,Yes
Female,0,No,No,16,Yes,No,No,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),61.01,958.6,Yes
Male,0,Yes,No,60,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),94.44,5652.7,Yes
Female,0,No,Yes,33,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),99.0,3296.19,No
Female,0,Yes,No,68,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),24.74,1711.64,No
Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),114.27,1907.29,No
Female,1,No,No,69,Yes,No,DSL,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),68.69,4729.62,No
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),116.65,6784.24,No
Male,0,No,No,25,Yes,Yes,No,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),31.9,805.11,Yes
Male,1,Yes,No,43,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),53.76,2308.7,Yes
Female,1,No,Yes,71,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,64.75,4573.01,No
Male,0,Yes,No,45,No,No phone service,DSL,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,113.89,5114.83,No
Male,0,Yes,No,67,Yes,No phone service,No,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,28.72,1907.36,No
Male,0,No,No,7,No,No,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),73.9,544.53,Yes
Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,31.55,331.89,Yes
Female,0,Yes,Yes,0,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,40.81,2.57,No
Male,0,No,No,23,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),79.98,1847.91,Yes
Male,0,No,Yes,56,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,46.6,2607.42,Yes
Female,0,No,Yes,69,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),47.24,3258.75,No
Male,0,No,No,39,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Two year,Yes,Mailed check,86.34,3341.71,No
Female,0,Yes,No,30,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.45,3005.74,No
Male,0,No,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,21.47,1432.01,No
Female,0,No,No,42,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,40.9,1705.71,No
Male,1,No,Yes,38,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,71.73,2753.52,Yes
Male,0,No,Yes,6,No,No,No,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,110.76,702.94,No
Female,0,No,Yes,15,Yes,Yes,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),55.83,857.15,Yes
Male,0,No,No,50,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,47.46,2403.27,No
Female,0,No,Yes,50,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),27.6,1367.37,No
Female,0,No,No,35,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),39.37,1373.71,No
Female,0,No,No,50,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,68.7,3417.8,No
Female,0,No,No,49,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),47.98,2353.31,No
Female,0,Yes,No,4,No,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),78.57,296.48,No
Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),48.79,2906.2,No
Male,0,No,No,49,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No,Yes,One year,No,Bank transfer (automatic),42.31,2018.56,No
Male,0,Yes,No,15,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),83.73,1265.09,Yes
Female,1,No,Yes,15,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),92.05,1404.35,Yes
Male,0,No,No,68,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,111.79,7623.11,Yes
Male,0,Yes,Yes,18,Yes,Yes,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,75.69,1377.78,No
Male,0,Yes,No,2,No,No phone service,No,Yes,No internet service,Yes,No,No,No,One year,Yes,Credit card (automatic),114.66,245.76,No
Male,0,Yes,No,2,Yes,No,No,No,Yes,No,Yes,Yes,No internet service,One year,No,Mailed check,40.07,73.96,No
Male,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.93,1119.27,No
Male,0,No,No,45,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,65.07,2906.61,No
Female,0,No,No,32,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,88.67,2831.34,No
Female,0,Yes,No,52,No,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),41.63,2121.34,No
Female,0,Yes,No,16,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),31.28,511.74,Yes
Male,0,Yes,No,16,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Mailed check,62.74,1012.17,No
Female,0,No,Yes,29,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),87.44,2546.41,No
Male,0,No,Yes,57,Yes,No phone service,No,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,91.23,5218.36,No
Female,1,Yes,No,36,No,Yes,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Mailed check,86.75,3086.92,No
Female,0,No,No,54,Yes,Yes,No,No,Yes,No,No,No,No internet service,Two year,No,Bank transfer (automatic),84.07,4523.93,No
Female,0,Yes,No,6,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Two year,No,Credit card (automatic),34.31,182.68,Yes
Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No,No,Yes,Two year,No,Electronic check,98.75,2852.31,No
Male,0,Yes,No,31,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,75.15,2315.46,Yes
Female,0,No,No,4,Yes,No phone service,DSL,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),24.96,56.53,No
Male,0,No,No,22,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Mailed check,44.03,982.48,No
